div,description,standard,category,brand,tag,modelPartNo,serialIdNo,range,externalToleranceLimit,internalTolerenceLimit,inUse,calibrationInterval,lastCalibration,calibrationDue,remainingMths,externalCal,calibrationReportNumber,calibrator,pic,actionForRenewalReminder
FA,Blade Micrometer,,,Hengliang,,691-101A,264988AS,0-25mm,,,Y,2,12-Oct-24,12-Oct-26,19.7,Lab,DL-24-1200,OrchidCal,RK,
FA,Blade Micrometer,,,Hengliang,,691-102A,267754Bx,25-50mm,,,Y,2,6-Dec-24,6-Dec-26,21.5,Lab,CTD 2964M-24,Key Solutions,RK,
FA,Dial Comparator,,,MAHR,NIL,865 SE,81052170Cy,0 - 0.1mm,,,Y,2,1-Aug-23,1-Aug-25,5.1,Lab,DL-23-1109,OrchidCal,RK,
FA,Dial Push Pull Gauge,,,AIKOH,NIL,ANF-500N,126881Di,0 - 50kgf,,,Y,2,6-Dec-24,6-Dec-26,21.5,Lab,CTP 1857M-24,Key Solutions,RK,
FA,Dial Test Indicators,,,MAHR,,MarTest 800 SGM,22050743Eu,+/-0.1mm,,,Y,2,7-Jan-25,7-Jan-27,22.6,Lab,CTD 1023M-25,Key Solutions,RK,
FA,Dial Test Indicator,,,MAHR,NIL,MarTest 800 SGM,91030861FO,0 - 0.2mm,,,Y,2,1-Aug-23,1-May-25,2,Lab,DL-23-1110,OrchidCal,RK,
FA,Dial Test Indicator,,,MITUTOYO,NIL,2046F,DAS567G5,0 - 10mm,,,Y,2,4-Jul-23,4-Jul-25,4.2,Lab,MPD 2480M-23,Key Solutions,RK,
FA,Dial Test Indicator,,,MITUTOYO,NIL,513-404,FGS562Hh,0 - 0.8mm,,,Y,2,6-Dec-24,6-Dec-26,21.5,Lab,CTD 2962M-24,Key Solutions,RK,
FA,Dial Test Indicator,,,MITUTOYO,NIL,513-405,FRV538I9,0 - 0.2mm,,,Y,2,4-Jul-23,4-Jul-25,4.2,Lab,MPD 2481M-23,Key Solutions,RK,
FA,Dial Test Indicator,,,MITUTOYO,NIL,513-404,YMT956JN,0 - 0.8mm,,,Y,2,4-Jul-23,4-Jul-25,4.2,Lab,MPD 2482M-23,Key Solutions,RK,
FA,Digimatic Offset Centerline Caliper (Digimatic Caliper),,,Sanliang,,119-331,2050302Kv,0-200mm,±0.03mm,,Y,2,7-Jan-25,7-Jan-27,22.6,Lab,CTD 1022M-25,Key Solutions,RK,
FA,Digimatic Caliper,,,MITUTOYO,,"CD-8"" ASX",A22218329Lt,0-200mm,±0.03mm,,Y,2,6-Dec-24,6-Dec-26,21.5,Lab,CTD 2960M-24,Key Solutions,RK,
